age,workclass,fnlwgt,education_num,marital_status,relationship,race,sex,capital_gain,capital_loss,hours_per_week,income,education_level,occupation_grouped,native_region,age_group
39,government,77516,13,single,single,white,male,2174,0,40,<=50k,tertiary,white collar,north america,36-45
50,self-employed,83311,13,married,male spouse,white,male,0,0,13,<=50k,tertiary,white collar,north america,46-60
38,private,215646,9,divorced or separated,single,white,male,0,0,40,<=50k,secondary-school graduate,blue collar,north america,36-45
53,private,234721,7,married,male spouse,black,male,0,0,40,<=50k,secondary,blue collar,north america,46-60
28,private,338409,13,married,female spouse,black,female,0,0,40,<=50k,tertiary,white collar,central america,26-35
37,private,284582,14,married,female spouse,white,female,0,0,40,<=50k,tertiary,white collar,north america,36-45
49,private,160187,5,married or separated,single,black,female,0,0,16,<=50k,secondary,service,central america,46-60
52,self-employed,209642,9,married,male spouse,white,male,0,0,45,>50k,secondary-school graduate,white collar,north america,46-60
31,private,45781,14,single,single,white,female,14084,0,50,>50k,tertiary,white collar,north america,26-35
42,private,159449,13,married,male spouse,white,male,5178,0,40,>50k,tertiary,white collar,north america,36-45
37,private,280464,10,married,male spouse,black,male,0,0,80,>50k,some college,white collar,north america,36-45
30,government,141297,13,married,male spouse,asian or pacific islander,male,0,0,40,>50k,tertiary,white collar,asia,26-35
23,private,122272,13,single,child,white,female,0,0,30,<=50k,tertiary,white collar,north america,18-25
32,private,205019,12,single,single,black,male,0,0,50,<=50k,associate,white collar,north america,26-35
40,private,121772,11,married,male spouse,asian or pacific islander,male,0,0,40,>50k,associate,blue collar,other,36-45
34,private,245487,4,married,male spouse,american indian or eskimo,male,0,0,45,<=50k,primary,blue collar,north america,26-35
25,self-employed,176756,9,single,child,white,male,0,0,35,<=50k,secondary-school graduate,blue collar,north america,18-25
32,private,186824,9,single,single,white,male,0,0,40,<=50k,secondary-school graduate,blue collar,north america,26-35
38,private,28887,7,married,male spouse,white,male,0,0,50,<=50k,secondary,white collar,north america,36-45
43,self-employed,292175,14,divorced or separated,single,white,female,0,0,45,>50k,tertiary,white collar,north america,36-45
